dept,nom,Gazole,SP98,SP95_E10,SP95,lat,lon
03,INTERMARCHE COMMENTRY MALICORNE | Intermarché,1.389,1.519,1.469,,46.3002511,2.7397220000000293
03,CARREFOUR | Carrefour,1.376,1.539,,1.5019999999999998,46.1359125,3.4354041999999936
03,Relais Lagarde Cusset | Total,1.499,1.679,1.569,,46.133676,3.4527329999999665
03,RELAIS CHATELARD | Total Access,1.389,1.5630000000000002,1.489,,46.3451437,2.619644500000049
03,ESSO EXPRESS DOMERAT TERRE NEUVE | Esso Express,1.399,1.599,1.499,,46.33811,2.5643360000000257
03,SUPERMARCHE CASINO DOMERAT | Casino,1.509,1.6669999999999998,,1.639,46.361793,2.5352464000000046
03,SUPER U | Système U,1.439,1.589,,1.529,46.51708379999999,3.6917246000000414
03,Avia | Avia,1.604,1.734,1.654,,46.35653679999999,2.8048178000000235
03,SA AVERMES DISTRIBUTION | Leclerc,1.369,,,1.477,46.5871889,3.3152102999999897
03,BELLERIVEDIS | Leclerc,1.376,1.539,,1.5019999999999998,46.1107045,3.4210593999999905
03,Market | Carrefour Market,1.399,1.568,,1.511,46.5833843,3.062858600000027
03,CARREFOUR CONTACT | Carrefour Contact,1.429,,,1.539,46.61696380000001,2.8213223000000203
03,Carrefour Market | Carrefour Market,1.389,1.519,,1.489,46.2941987,2.7419922999999926
03,Market | Carrefour Market,1.429,1.579,,1.539,46.4741256,2.8234495000000384
03,Carrefour Market | Carrefour Market,1.386,1.541,1.578,1.505,46.1435053,3.439029699999992
03,MARKET DESERTINES | Carrefour Market,1.459,1.599,,1.5590000000000002,46.3564176,2.6194163000000117
03,RELAIS LAGARDE TOTAL DEUX CHAISES | Total,1.499,1.702,1.592,,46.3564176,2.6194163000000117
03,LECLERC CHATEAUGAY | Leclerc,1.389,1.539,1.455,1.489,46.3750808,3.0179806999999528
03,ESSO GARAGE MICHAUD | Esso,1.589,1.7280000000000002,,1.682,46.3750808,3.0179806999999528
03,ATAC DOMPIERRE SUR BESBRE | Atac,1.482,1.6030000000000002,,1.579,46.5209902,3.6816446999999934
03,Avia | Avia,1.604,1.734,1.654,,46.3555174,2.8013366000000133
03,AUCHAN SUPERMARCHE | Auchan,1.421,1.547,1.519,,46.0981549,3.2037401000000045
03,Relais Lagarde Gannat MENDES FRANCE | Total,1.499,1.679,1.569,,46.099372,3.20752200000004
03,SAS SAIVE | Intermarché,1.4240000000000002,1.548,,1.5219999999999998,46.0798245,3.2010996000000205
03,MME CARTERON COLETTE | Total,1.5119999999999998,1.705,1.595,,46.4064656,2.5272480999999516
03,Aire des verites | Total Access,1.399,1.567,1.494,,46.246033,3.6106019000000082
03,INTERMARCHE LAPALISSE | Intermarché,1.389,1.555,1.467,1.548,46.253177,3.624471999999969
03,STATION DONJONNAISE | Dyneff,1.57,1.68,,1.66,46.3482321,3.793423100000041
03,bi 1 LURCY LEVIS | Atac,1.494,1.608,,1.585,46.7194362,2.9191006999999445
